state,city,locality,property_type,bhk,area_sqft,bathrooms,floor,total_floors,age_years,furnished,parking,balcony,price_inr
Andhra Pradesh,Tirupati,Tirupati Central,Apartment,1,2990,1,3,7,22,Semi-Furnished,1,3,41030395
Andhra Pradesh,Tirupati,Tirupati Central,Apartment,5,2780,4,7,7,21,Semi-Furnished,2,1,31565176
Andhra Pradesh,Tirupati,Tirupati Central,Independent House,5,580,5,11,11,11,Semi-Furnished,0,2,7132614
Andhra Pradesh,Tirupati,Tirupati Central,Villa,3,1510,4,6,7,13,Semi-Furnished,2,2,18054610
Andhra Pradesh,Tirupati,Tirupati Central,Apartment,4,1570,4,12,12,24,Unfurnished,1,0,20117658
Andhra Pradesh,Tirupati,Tirupati Central,Apartment,3,2760,4,12,20,23,Furnished,1,0,43738591
Andhra Pradesh,Nellore,Nellore Central,Independent House,5,1590,4,7,10,8,Semi-Furnished,2,0,17900638
Andhra Pradesh,Nellore,Nellore Central,Apartment,2,2950,1,3,10,24,Unfurnished,2,2,22331153
Andhra Pradesh,Nellore,Nellore Central,Independent House,1,770,1,8,13,6,Semi-Furnished,1,2,8294294
Andhra Pradesh,Nellore,Nellore Central,Apartment,4,700,4,14,17,18,Semi-Furnished,0,1,8547708
Andhra Pradesh,Nellore,Nellore Central,Villa,4,2800,4,1,18,9,Semi-Furnished,1,1,32259048
Andhra Pradesh,Nellore,Nellore Central,Independent House,1,1600,2,0,7,25,Unfurnished,0,0,15892127
Andhra Pradesh,Nellore,Nellore Central,Apartment,4,3000,4,9,9,17,Semi-Furnished,1,1,31675995
Andhra Pradesh,Nellore,Nellore Central,Independent House,3,2230,4,15,16,18,Semi-Furnished,1,3,17977598
Andhra Pradesh,Nellore,Nellore Central,Independent House,2,3100,3,8,15,16,Unfurnished,2,1,30621743
Andhra Pradesh,Nellore,Nellore Central,Villa,5,2280,5,13,15,10,Unfurnished,2,2,28784853
Andhra Pradesh,Nellore,Nellore Central,Independent House,1,870,1,14,20,7,Semi-Furnished,2,1,7488212
Andhra Pradesh,Nellore,Nellore Central,Apartment,2,1640,3,8,17,1,Semi-Furnished,0,3,20866960
Andhra Pradesh,Nellore,Nellore Central,Apartment,2,640,2,14,14,1,Unfurnished,2,2,7859772
Andhra Pradesh,Nellore,Nellore Central,Independent House,1,2840,2,14,14,19,Unfurnished,0,2,27964994
Andhra Pradesh,Nellore,Nellore Central,Independent House,3,560,3,12,12,24,Unfurnished,2,3,7213906
Andhra Pradesh,Nellore,Nellore Central,Apartment,2,1180,3,14,14,10,Furnished,2,2,12782197
Andhra Pradesh,Nellore,Nellore Central,Apartment,1,1270,2,10,10,14,Unfurnished,1,2,14621220
Andhra Pradesh,Nellore,Nellore Central,Apartment,3,3190,2,1,12,16,Unfurnished,0,3,30905793
Andhra Pradesh,Kurnool,Kurnool Central,Villa,4,2120,4,5,5,1,Semi-Furnished,0,1,27581840
Andhra Pradesh,Kurnool,Kurnool Central,Apartment,2,1080,1,14,14,14,Semi-Furnished,1,1,11027206
Andhra Pradesh,Kurnool,Kurnool Central,Apartment,5,2540,5,6,6,13,Furnished,1,1,38172149
Andhra Pradesh,Kurnool,Kurnool Central,Apartment,2,1950,3,0,6,25,Semi-Furnished,2,0,26426201
Andhra Pradesh,Kurnool,Kurnool Central,Apartment,1,960,2,4,16,9,Semi-Furnished,1,3,13267423
Andhra Pradesh,Kurnool,Kurnool Central,Independent House,5,1810,5,10,19,24,Furnished,0,3,23391120
Andhra Pradesh,Kurnool,Kurnool Central,Independent House,1,2040,1,12,12,8,Furnished,2,1,28712379
Andhra Pradesh,Kurnool,Kurnool Central,Apartment,5,3090,4,9,9,19,Unfurnished,2,1,42024794
Andhra Pradesh,Kurnool,Kurnool Central,Apartment,4,1370,3,12,12,1,Semi-Furnished,2,2,17446141
Andhra Pradesh,Kurnool,Kurnool Central,Apartment,5,1350,5,4,4,12,Unfurnished,1,3,19211736
Andhra Pradesh,Kurnool,Kurnool Central,Apartment,1,1890,1,8,16,7,Semi-Furnished,1,3,23682222
Andhra Pradesh,Kurnool,Kurnool Central,Apartment,2,1400,1,5,5,15,Semi-Furnished,2,1,19518947
Andhra Pradesh,Kurnool,Kurnool Central,Independent House,3,670,3,9,9,12,Unfurnished,0,0,9244138
Andhra Pradesh,Kurnool,Kurnool Central,Apartment,1,570,1,11,13,24,Unfurnished,1,0,7757304
Andhra Pradesh,Kurnool,Kurnool Central,Apartment,2,2110,3,8,13,17,Furnished,1,0,25554486
Andhra Pradesh,Kurnool,Kurnool Central,Villa,5,2810,4,15,15,7,Semi-Furnished,2,3,48459975
Andhra Pradesh,Kurnool,Kurnool Central,Independent House,4,2700,3,4,5,3,Semi-Furnished,1,1,41764008
Andhra Pradesh,Kurnool,Kurnool Central,Apartment,5,750,4,11,11,22,Unfurnished,1,2,12440243
Andhra Pradesh,Rajahmundry,Rajahmundry Central,Independent House,2,2500,1,3,3,21,Semi-Furnished,2,0,25864948
Andhra Pradesh,Rajahmundry,Rajahmundry Central,Villa,1,1000,1,14,14,20,Unfurnished,1,3,13513095
Andhra Pradesh,Rajahmundry,Rajahmundry Central,Independent House,2,880,3,2,13,14,Semi-Furnished,0,1,9793681
Andhra Pradesh,Rajahmundry,Rajahmundry Central,Independent House,3,2120,2,3,3,3,Furnished,0,2,31465887
Andhra Pradesh,Rajahmundry,Rajahmundry Central,Apartment,5,2860,4,8,8,21,Semi-Furnished,2,2,43777347
Andhra Pradesh,Rajahmundry,Rajahmundry Central,Villa,4,2050,5,14,14,6,Semi-Furnished,2,0,27059978
Andhra Pradesh,Rajahmundry,Rajahmundry Central,Apartment,2,1920,2,10,10,11,Furnished,0,2,24506404
Andhra Pradesh,Rajahmundry,Rajahmundry Central,Apartment,2,3090,1,15,19,6,Furnished,0,0,29006976
Andhra Pradesh,Rajahmundry,Rajahmundry Central,Apartment,5,2490,5,1,15,16,Semi-Furnished,1,2,35169296
Andhra Pradesh,Rajahmundry,Rajahmundry Central,Villa,5,2060,4,13,16,11,Furnished,1,0,34766099
Andhra Pradesh,Rajahmundry,Rajahmundry Central,Villa,3,2520,2,12,15,11,Semi-Furnished,2,3,34576998
Andhra Pradesh,Rajahmundry,Rajahmundry Central,Apartment,4,1390,4,0,13,9,Semi-Furnished,1,3,17464080
Andhra Pradesh,Rajahmundry,Rajahmundry Central,Apartment,1,1070,1,5,5,8,Unfurnished,0,2,9891315
Andhra Pradesh,Rajahmundry,Rajahmundry Central,Apartment,1,3080,1,9,18,18,Semi-Furnished,1,1,39269196
Andhra Pradesh,Rajahmundry,Rajahmundry Central,Apartment,5,1040,5,2,2,12,Unfurnished,0,1,15445184
Andhra Pradesh,Rajahmundry,Rajahmundry Central,Apartment,2,2270,2,2,6,17,Unfurnished,0,3,27348938
Andhra Pradesh,Rajahmundry,Rajahmundry Central,Villa,4,2940,5,9,9,2,Furnished,1,0,48537668
Andhra Pradesh,Rajahmundry,Rajahmundry Central,Independent House,2,2010,1,6,11,11,Semi-Furnished,1,0,24955757
Andhra Pradesh,Kakinada,Kakinada Central,Apartment,3,970,4,11,11,2,Semi-Furnished,2,1,11491422
Andhra Pradesh,Kakinada,Kakinada Central,Apartment,1,2560,2,6,6,0,Furnished,0,3,22777292
Andhra Pradesh,Kakinada,Kakinada Central,Apartment,2,1250,3,0,9,4,Semi-Furnished,0,0,15068254
Andhra Pradesh,Kakinada,Kakinada Central,Apartment,1,2800,2,11,11,14,Semi-Furnished,0,0,26602141
Andhra Pradesh,Kakinada,Kakinada Central,Independent House,1,3040,2,4,10,1,Semi-Furnished,1,2,33385593
Andhra Pradesh,Kakinada,Kakinada Central,Apartment,5,1700,4,1,10,9,Furnished,2,3,20986187
Andhra Pradesh,Kakinada,Kakinada Central,Apartment,2,2010,1,6,6,24,Unfurnished,0,3,21965750
Andhra Pradesh,Kakinada,Kakinada Central,Apartment,5,2160,5,10,10,1,Semi-Furnished,2,3,27704166
Andhra Pradesh,Kakinada,Kakinada Central,Apartment,5,2510,5,10,10,9,Furnished,1,0,34788951
Andhra Pradesh,Kakinada,Kakinada Central,Independent House,1,2650,1,13,13,17,Semi-Furnished,0,3,22712440
Andhra Pradesh,Kakinada,Kakinada Central,Villa,2,2240,1,14,14,19,Unfurnished,1,1,24298288
Andhra Pradesh,Kakinada,Kakinada Central,Apartment,3,950,3,10,10,20,Furnished,1,2,11305459
Andhra Pradesh,Kakinada,Kakinada Central,Apartment,2,2290,2,8,8,17,Furnished,1,0,25401324
Andhra Pradesh,Kakinada,Kakinada Central,Apartment,5,2790,4,11,15,15,Furnished,0,3,31276326
Andhra Pradesh,Kakinada,Kakinada Central,Villa,4,2290,3,11,15,4,Semi-Furnished,1,1,29544392
Andhra Pradesh,Kakinada,Kakinada Central,Villa,1,2450,1,3,13,15,Semi-Furnished,1,1,24521378
Andhra Pradesh,Kakinada,Kakinada Central,Apartment,3,1710,2,2,14,6,Semi-Furnished,2,2,19911085
Andhra Pradesh,Kakinada,Kakinada Central,Independent House,5,1410,4,12,12,20,Furnished,2,2,16185394
Arunachal Pradesh,Itanagar,Itanagar Central,Apartment,5,1270,4,14,19,19,Semi-Furnished,2,0,13557626
Arunachal Pradesh,Itanagar,Itanagar Central,Apartment,3,2400,4,4,13,19,Unfurnished,0,1,24788976
Arunachal Pradesh,Itanagar,Itanagar Central,Apartment,3,1600,4,11,18,11,Semi-Furnished,2,2,14033850
Arunachal Pradesh,Itanagar,Itanagar Central,Apartment,1,3030,2,11,11,22,Semi-Furnished,1,2,22037268
Arunachal Pradesh,Itanagar,Itanagar Central,Villa,5,1190,5,14,20,10,Furnished,0,2,12822088
Arunachal Pradesh,Itanagar,Itanagar Central,Apartment,2,2570,2,9,13,2,Unfurnished,1,1,24384693
Arunachal Pradesh,Itanagar,Itanagar Central,Apartment,3,2100,3,4,18,9,Furnished,1,0,19785629
Arunachal Pradesh,Itanagar,Itanagar Central,Independent House,1,1440,2,11,16,11,Unfurnished,1,0,11903698
Arunachal Pradesh,Itanagar,Itanagar Central,Apartment,3,3190,2,6,13,7,Semi-Furnished,2,3,35825058
Arunachal Pradesh,Itanagar,Itanagar Central,Independent House,4,730,3,7,18,24,Unfurnished,0,2,5628934
Arunachal Pradesh,Itanagar,Itanagar Central,Apartment,4,2750,3,3,11,14,Semi-Furnished,0,2,27295458
Arunachal Pradesh,Itanagar,Itanagar Central,Apartment,1,3170,2,10,15,0,Unfurnished,0,3,32765019
Arunachal Pradesh,Itanagar,Itanagar Central,Apartment,2,1770,2,12,12,4,Semi-Furnished,0,3,13731474
Arunachal Pradesh,Itanagar,Itanagar Central,Apartment,5,2720,5,11,17,24,Semi-Furnished,0,1,25663291
Arunachal Pradesh,Itanagar,Itanagar Central,Apartment,2,930,3,4,11,14,Unfurnished,0,0,8641290
Arunachal Pradesh,Itanagar,Itanagar Central,Independent House,2,550,2,5,14,2,Unfurnished,2,3,5084654
Arunachal Pradesh,Itanagar,Itanagar Central,Independent House,1,930,2,7,17,1,Semi-Furnished,0,0,8159072
Arunachal Pradesh,Itanagar,Itanagar Central,Independent House,3,2500,2,8,16,15,Semi-Furnished,2,1,16634579
Arunachal Pradesh,Naharlagun,Naharlagun Central,Independent House,3,1130,2,12,12,16,Unfurnished,1,0,10079951
Arunachal Pradesh,Naharlagun,Naharlagun Central,Villa,1,2730,1,15,15,1,Unfurnished,0,1,23300968
Arunachal Pradesh,Naharlagun,Naharlagun Central,Independent House,1,2860,2,9,9,24,Unfurnished,1,2,18544229
Arunachal Pradesh,Naharlagun,Naharlagun Central,Apartment,2,2490,2,5,15,0,Furnished,1,0,19570849
Arunachal Pradesh,Naharlagun,Naharlagun Central,Apartment,5,2140,5,4,16,9,Semi-Furnished,0,3,17816521
Arunachal Pradesh,Naharlagun,Naharlagun Central,Apartment,1,1570,1,7,12,19,Semi-Furnished,1,2,11678233
Arunachal Pradesh,Naharlagun,Naharlagun Central,Independent House,2,550,1,12,12,0,Semi-Furnished,2,3,5350943
Arunachal Pradesh,Naharlagun,Naharlagun Central,Apartment,5,1810,5,7,12,21,Unfurnished,1,0,13872867
Arunachal Pradesh,Naharlagun,Naharlagun Central,Apartment,1,1110,1,8,8,23,Semi-Furnished,0,0,6890535
Arunachal Pradesh,Naharlagun,Naharlagun Central,Apartment,1,1390,1,5,6,8,Semi-Furnished,2,2,9693241
Arunachal Pradesh,Naharlagun,Naharlagun Central,Apartment,5,2900,5,0,3,0,Unfurnished,1,2,23767914
Arunachal Pradesh,Naharlagun,Naharlagun Central,Independent House,1,2800,2,2,20,25,Semi-Furnished,1,0,19770911
Arunachal Pradesh,Naharlagun,Naharlagun Central,Apartment,1,1400,2,14,14,12,Furnished,2,3,8681723
Arunachal Pradesh,Naharlagun,Naharlagun Central,Apartment,3,1850,4,12,12,7,Semi-Furnished,1,0,16511717
Arunachal Pradesh,Naharlagun,Naharlagun Central,Independent House,2,1060,1,9,9,25,Semi-Furnished,2,1,8461707
Arunachal Pradesh,Naharlagun,Naharlagun Central,Villa,5,2220,5,12,12,9,Semi-Furnished,0,1,25882143
Arunachal Pradesh,Naharlagun,Naharlagun Central,Apartment,2,1770,2,15,15,7,Semi-Furnished,0,1,16909217
Arunachal Pradesh,Naharlagun,Naharlagun Central,Apartment,2,990,3,12,12,13,Unfurnished,2,3,7452273
Arunachal Pradesh,Tawang,Tawang Central,Apartment,3,2740,4,15,15,25,Semi-Furnished,1,3,19890578
Arunachal Pradesh,Tawang,Tawang Central,Apartment,1,2990,1,14,14,23,Unfurnished,2,2,19774843
Arunachal Pradesh,Tawang,Tawang Central,Apartment,2,2520,3,7,7,3,Semi-Furnished,1,3,17250679
Arunachal Pradesh,Tawang,Tawang Central,Apartment,5,2870,5,10,10,25,Unfurnished,1,3,18164860
Arunachal Pradesh,Tawang,Tawang Central,Villa,2,1970,3,13,13,6,Furnished,2,2,17261575
Arunachal Pradesh,Tawang,Tawang Central,Independent House,3,1540,2,3,12,3,Semi-Furnished,1,3,11648677
Arunachal Pradesh,Tawang,Tawang Central,Apartment,5,1670,5,14,16,24,Unfurnished,0,3,14964243
Arunachal Pradesh,Tawang,Tawang Central,Apartment,4,1350,5,8,10,18,Semi-Furnished,1,2,10263812
Arunachal Pradesh,Tawang,Tawang Central,Apartment,4,2320,4,9,10,2,Unfurnished,2,2,17060984
Arunachal Pradesh,Tawang,Tawang Central,Apartment,3,920,2,8,19,14,Unfurnished,0,1,7816873
Arunachal Pradesh,Tawang,Tawang Central,Independent House,3,3130,2,14,14,6,Furnished,1,1,27827129
Arunachal Pradesh,Tawang,Tawang Central,Villa,2,640,2,10,10,5,Furnished,0,2,6216461
Arunachal Pradesh,Tawang,Tawang Central,Villa,3,2940,2,14,14,10,Furnished,0,0,32448505
Arunachal Pradesh,Tawang,Tawang Central,Villa,5,960,5,11,11,18,Semi-Furnished,2,1,10140228
Arunachal Pradesh,Tawang,Tawang Central,Apartment,1,3110,1,3,20,7,Unfurnished,0,0,26852090
Arunachal Pradesh,Tawang,Tawang Central,Villa,1,2420,2,5,19,14,Furnished,1,0,19945069
Arunachal Pradesh,Tawang,Tawang Central,Independent House,2,1990,2,7,15,10,Furnished,2,1,14981156
Arunachal Pradesh,Tawang,Tawang Central,Apartment,5,1570,5,11,11,7,Unfurnished,1,3,13012222
Arunachal Pradesh,Pasighat,Pasighat Central,Apartment,1,3010,1,13,13,21,Unfurnished,0,3,31154663
Arunachal Pradesh,Pasighat,Pasighat Central,Villa,2,1910,3,9,9,17,Unfurnished,1,0,19738707
Arunachal Pradesh,Pasighat,Pasighat Central,Villa,1,1060,1,10,13,3,Semi-Furnished,2,0,11237383
Arunachal Pradesh,Pasighat,Pasighat Central,Villa,5,2180,5,1,2,16,Semi-Furnished,1,0,30205924
Arunachal Pradesh,Pasighat,Pasighat Central,Independent House,4,3050,4,6,6,22,Semi-Furnished,1,1,34147043
Arunachal Pradesh,Pasighat,Pasighat Central,Apartment,1,2330,1,14,14,4,Semi-Furnished,2,3,21566557
Arunachal Pradesh,Pasighat,Pasighat Central,Apartment,5,830,5,14,14,15,Semi-Furnished,0,3,8273246
Arunachal Pradesh,Pasighat,Pasighat Central,Apartment,3,1810,3,3,5,23,Semi-Furnished,2,2,19595939
Arunachal Pradesh,Pasighat,Pasighat Central,Independent House,3,3150,3,11,11,0,Semi-Furnished,2,3,35759334
Arunachal Pradesh,Pasighat,Pasighat Central,Independent House,4,2620,4,12,13,23,Furnished,0,1,29816251
Arunachal Pradesh,Pasighat,Pasighat Central,Apartment,4,2330,5,10,17,24,Semi-Furnished,1,2,21412196
Arunachal Pradesh,Pasighat,Pasighat Central,Independent House,3,1760,2,6,6,13,Unfurnished,1,2,13996178
Arunachal Pradesh,Pasighat,Pasighat Central,Apartment,2,2920,1,12,12,19,Furnished,0,0,31368700
Arunachal Pradesh,Pasighat,Pasighat Central,Independent House,2,1950,3,13,13,4,Semi-Furnished,2,1,17699833
Arunachal Pradesh,Pasighat,Pasighat Central,Apartment,5,940,4,11,12,10,Unfurnished,2,2,10753952
Arunachal Pradesh,Pasighat,Pasighat Central,Independent House,3,1820,4,3,9,6,Furnished,1,3,18902208
Arunachal Pradesh,Pasighat,Pasighat Central,Apartment,2,1500,1,11,11,4,Semi-Furnished,2,3,20208399
Arunachal Pradesh,Pasighat,Pasighat Central,Apartment,1,1270,1,13,13,9,Semi-Furnished,2,0,13270927
Arunachal Pradesh,Ziro,Ziro Central,Independent House,1,3010,1,9,20,9,Furnished,1,2,29068121
Arunachal Pradesh,Ziro,Ziro Central,Apartment,5,2950,5,11,11,13,Unfurnished,1,1,36616484
Arunachal Pradesh,Ziro,Ziro Central,Apartment,3,1620,3,15,15,11,Furnished,2,0,18974273
Arunachal Pradesh,Ziro,Ziro Central,Independent House,1,2790,2,2,7,20,Furnished,0,1,26009584
Arunachal Pradesh,Ziro,Ziro Central,Apartment,5,2150,5,9,9,16,Semi-Furnished,0,0,19938231
Arunachal Pradesh,Ziro,Ziro Central,Apartment,4,700,5,0,14,16,Furnished,2,0,8390981
Arunachal Pradesh,Ziro,Ziro Central,Villa,2,2700,1,4,14,25,Unfurnished,2,3,24831215
Arunachal Pradesh,Ziro,Ziro Central,Apartment,5,1280,5,15,15,8,Semi-Furnished,2,1,14682123
Arunachal Pradesh,Ziro,Ziro Central,Independent House,4,2590,4,10,10,15,Unfurnished,1,2,20951222
Arunachal Pradesh,Ziro,Ziro Central,Apartment,5,650,4,12,12,5,Furnished,0,1,6239026
Arunachal Pradesh,Ziro,Ziro Central,Apartment,1,1530,1,6,10,6,Semi-Furnished,2,3,15087715
Arunachal Pradesh,Ziro,Ziro Central,Apartment,4,2380,5,3,19,3,Semi-Furnished,0,0,23980517
Arunachal Pradesh,Ziro,Ziro Central,Apartment,1,2550,1,2,4,25,Unfurnished,1,1,24934566
Arunachal Pradesh,Ziro,Ziro Central,Independent House,1,2660,2,9,9,5,Unfurnished,0,1,27163284
Arunachal Pradesh,Ziro,Ziro Central,Apartment,1,3050,1,10,10,13,Furnished,0,0,31818655
Arunachal Pradesh,Ziro,Ziro Central,Apartment,4,2240,5,9,18,11,Furnished,0,3,29866403
Arunachal Pradesh,Ziro,Ziro Central,Apartment,3,680,4,8,16,22,Semi-Furnished,1,0,7207704
Arunachal Pradesh,Ziro,Ziro Central,Apartment,1,3030,2,2,11,2,Furnished,2,2,32936634
Assam,Guwahati,Guwahati Central,Apartment,1,2530,1,4,11,16,Unfurnished,2,2,38912926
Assam,Guwahati,Guwahati Central,Villa,5,1590,5,12,15,21,Unfurnished,0,2,24351544
Assam,Guwahati,Guwahati Central,Villa,4,1040,5,13,19,8,Semi-Furnished,0,3,14350885
Assam,Guwahati,Guwahati Central,Villa,2,2240,2,9,9,17,Unfurnished,1,3,33793579
Assam,Guwahati,Guwahati Central,Villa,3,2630,3,12,12,15,Furnished,0,3,32085670
